call#80.0 in z80ex_step
call#80.1 in z80ex_step
call#80.2 in z80ex_step
call#80.3 in z80ex_step
call#80.4 in z80ex_step
call#80.5 in z80ex_step
call#80.6 in z80ex_step
call#80.7 in z80ex_step
call#80.8 in z80ex_step
call#80.9 in z80ex_step
call#80.0 in internal op_CB_0x00@z80ex.c
call#80.0 in internal op_CB_0x01@z80ex.c
call#80.0 in internal op_CB_0x02@z80ex.c
call#80.0 in internal op_CB_0x03@z80ex.c
call#80.0 in internal op_CB_0x04@z80ex.c
call#80.0 in internal op_CB_0x05@z80ex.c
call#80.0 in internal op_CB_0x06@z80ex.c
call#80.1 in internal op_CB_0x06@z80ex.c
call#80.2 in internal op_CB_0x06@z80ex.c
call#80.3 in internal op_CB_0x06@z80ex.c
call#80.4 in internal op_CB_0x06@z80ex.c
call#80.0 in internal op_CB_0x07@z80ex.c
call#80.0 in internal op_CB_0x08@z80ex.c
call#80.0 in internal op_CB_0x09@z80ex.c
call#80.0 in internal op_CB_0x0a@z80ex.c
call#80.0 in internal op_CB_0x0b@z80ex.c
call#80.0 in internal op_CB_0x0c@z80ex.c
call#80.0 in internal op_CB_0x0d@z80ex.c
call#80.0 in internal op_CB_0x0e@z80ex.c
call#80.1 in internal op_CB_0x0e@z80ex.c
call#80.2 in internal op_CB_0x0e@z80ex.c
call#80.3 in internal op_CB_0x0e@z80ex.c
call#80.4 in internal op_CB_0x0e@z80ex.c
call#80.0 in internal op_CB_0x0f@z80ex.c
call#80.0 in internal op_CB_0x10@z80ex.c
call#80.0 in internal op_CB_0x11@z80ex.c
call#80.0 in internal op_CB_0x12@z80ex.c
call#80.0 in internal op_CB_0x13@z80ex.c
call#80.0 in internal op_CB_0x14@z80ex.c
call#80.0 in internal op_CB_0x15@z80ex.c
call#80.0 in internal op_CB_0x16@z80ex.c
call#80.1 in internal op_CB_0x16@z80ex.c
call#80.2 in internal op_CB_0x16@z80ex.c
call#80.3 in internal op_CB_0x16@z80ex.c
call#80.4 in internal op_CB_0x16@z80ex.c
